,genre,simplified genre
444,http://fr.dbpedia.org/resource/Film_choral,film choral
445,"Comédie dramatique, musical",comédie dramatique
446,"Comédie dramatique, musical",musical
447,British Broadcasting Corporation,british broadcasting corporation
448,Pandora Cinema,pandora cinema
449,ARP Sélection,arp sélection
450,http://fr.dbpedia.org/resource/Film_autobiographique,autobiographie
451,http://fr.dbpedia.org/resource/Rock_indépendant,rock indépendant
452,http://fr.dbpedia.org/resource/Hard_rock,hard rock
453,http://fr.dbpedia.org/resource/Metal_alternatif,metal alternatif
454,comédie policière,comédie policière
455,burlesque,burlesque
456,"Drame, film de guerre",drame
457,"Drame, film de guerre",film de guerre
458,http://fr.dbpedia.org/resource/Giallo,giallo
459,webdocumentaire,web-documentaire
460,Téléfilm,téléfilm
461,Comédie Burlesque,comédie burlesque
462,Téléfilm policier,téléfilm
463,Téléfilm policier,policier
464,drame • érotique,drame
465,drame • érotique,érotique
466,http://fr.dbpedia.org/resource/Film_en_fustanelle,film en fustanelle
467,http://fr.dbpedia.org/resource/Stoner_comedy,stoner comedy
468,http://fr.dbpedia.org/resource/Animation_en_volume,animation
469,http://fr.dbpedia.org/resource/Animation_en_volume,en volume
470,Comédie dramatique pour la jeunesse,comédie dramatique pour la jeunesse
471,http://fr.dbpedia.org/resource/R&B_contemporain,r&b contemporain
472,Documentaire sportif,documentaire sportif
473,http://fr.dbpedia.org/resource/Film_juridique,juridique
474,"Drame, crime",crime
475,"Drame, crime",drame
476,http://fr.dbpedia.org/resource/Film_de_Noël,film de noël
477,http://fr.dbpedia.org/resource/Film_pour_enfants,pour enfants
478,mélodrame,mélodrame
479,http://fr.dbpedia.org/resource/Cinéma_de_montagne,cinéma de montagne
480,Propagande,propagande
481,thriller d'horreur,thriller d'horreur
482,"Fiction, Famille",fiction
483,"Fiction, Famille",famille
484,"fantastique, action et romance",fantastique
485,"fantastique, action et romance",action
486,"fantastique, action et romance",romance
487,"Pornographique, comédie, parodie",pornographique
488,"Pornographique, comédie, parodie",comédie
489,"Pornographique, comédie, parodie",parodie
490,http://fr.dbpedia.org/resource/Drame_romantique,drame romantique
491,http://fr.dbpedia.org/resource/Film_de_propagande,propagande
492,http://fr.dbpedia.org/resource/Détournement_(art),détournement (art)
493,http://fr.dbpedia.org/resource/Gangsta_rap,gangsta rap
494,http://fr.dbpedia.org/resource/Horrorcore,horrorcore
495,Documentaire romancé,documentaire romancé
496,aventures,aventure
497,http://fr.dbpedia.org/resource/Roman_policier,roman policier
498,http://fr.dbpedia.org/resource/Biopic,biopic
499,action,action
500,"comédie, fantasy",comédie
501,"comédie, fantasy",fantaisie
502,http://fr.dbpedia.org/resource/Divers,divers
503,http://fr.dbpedia.org/resource/Western_Spaghetti,western spaghetti
504,"aventure, animation",animation
505,"aventure, animation",aventure
506,http://fr.dbpedia.org/resource/Thriller_psychologique,thriller psychologique
507,guerre,guerre
508,http://fr.dbpedia.org/resource/Techno-thriller,techno-thriller
509,http://fr.dbpedia.org/resource/Film_de_prison_pour_femmes,film de prison pour femmes
510,http://fr.dbpedia.org/resource/Cinéma_d'action,action
511,http://fr.dbpedia.org/resource/Drame,drame
512,Dessin animé,dessin animé
513,scène à trucs,scène à trucs
514,http://fr.dbpedia.org/resource/Merveilleux,merveilleux
515,http://fr.dbpedia.org/resource/Comédie_érotique,comédie
516,http://fr.dbpedia.org/resource/Comédie_érotique,érotique
517,http://fr.dbpedia.org/resource/Western_B,western b
518,http://fr.dbpedia.org/resource/Propagande,propagande
519,Mondo,mondo
520,http://fr.dbpedia.org/resource/Mythologie,mythologie
521,http://fr.dbpedia.org/resource/Érotisme(cinéma),érotique
522,Court métrage d'animation,court métrage d'animation
523,"animation, conte",animation
524,"animation, conte",conte
525,"drame, science-fiction",drame
526,"drame, science-fiction",science-fiction
527,"dramatique, mondo",dramatique
528,"dramatique, mondo",mondo
529,http://fr.dbpedia.org/resource/Mélodrame,mélodrame
530,http://fr.dbpedia.org/resource/Stand-up,stand-up
531,http://fr.dbpedia.org/resource/Film_muet,muet
532,"animation, aventure",animation
533,"animation, aventure",aventure
534,http://fr.dbpedia.org/resource/Court_Métrage,court métrage
535,http://fr.dbpedia.org/resource/Film_mythologique,mythologique
536,Comedie,comédie
537,http://fr.dbpedia.org/resource/Drame_(genre),drame
538,Docu-Fiction,docu-fiction
539,espionnage,espionnage
540,"Comédie, Science-fiction",comédie
541,"Comédie, Science-fiction",science-fiction
542,Documenteur,documentaire
543,"action, thriller",action
544,"action, thriller",thriller
545,http://fr.dbpedia.org/resource/Mystère,mystère
546,"Comédie, Film de poursuite",comédie
547,"Comédie, Film de poursuite",film de poursuite
548,http://fr.dbpedia.org/resource/Road-movie,road-movie
549,http://fr.dbpedia.org/resource/Comédie_noire,comédie noire
550,http://fr.dbpedia.org/resource/Film_de_casse,film de casse
551,http://fr.dbpedia.org/resource/Universal_Monsters,universal monsters
552,"Science-fiction, comédie",comédie
553,"Science-fiction, comédie",science-fiction
554,Film de sport,sport
555,http://fr.dbpedia.org/resource/Anticipation_(fiction),anticipation (fiction)
556,Drame des colonies,drame des colonies
557,film de poursuite,film de poursuite
558,Comédie de science-fiction,comédie de science-fiction
559,Dessin-animé,dessin animé
560,Comédie de mœurs,comédie de mœurs
561,http://fr.dbpedia.org/resource/Parodie,parodie
562,http://fr.dbpedia.org/resource/Chase_Films,chase films
563,http://fr.dbpedia.org/resource/Pornographie,pornographie
564,Pornographie hétérosexuelle et lesbienne,pornographie hétérosexuelle
565,Pornographie hétérosexuelle et lesbienne,lesbienne
566,http://fr.dbpedia.org/resource/Téléfilm,téléfilm
567,http://fr.dbpedia.org/resource/Film_à_énigme,film à énigme
568,http://fr.dbpedia.org/resource/Time-lapse,time-lapse
569,http://fr.dbpedia.org/resource/Documentaire_érotique_(cinéma),documentaire érotique
570,http://fr.dbpedia.org/resource/Peplum,péplum
571,Dramatique / sentimental,dramatique
572,Dramatique / sentimental,sentimental
573,Suspense,suspense
574,Social,social
575,http://fr.dbpedia.org/resource/Dystopie,dystopie
576,http://fr.dbpedia.org/resource/Film_d'art_martial,art martiaux
577,http://fr.dbpedia.org/resource/Super-Héros_au_Cinéma,super-héros au cinéma
578,http://fr.dbpedia.org/resource/Drame_érotique_(cinéma),drame érotique
579,http://fr.dbpedia.org/resource/Publicité,publicité
580,Epouvante-horreur,épouvante
581,Epouvante-horreur,horreur
582,Comédie loufoque,comédie loufoque
583,Film biblique,film biblique
584,Comédie érotique,comédie
585,Comédie érotique,érotique
586,comédie de mœurs,comédie de mœurs
587,"Horreur, science-fiction",horreur
588,"Horreur, science-fiction",science-fiction
589,"Guerre, Western",guerre
590,"Guerre, Western",western
591,"Film dramatique, Film historique, Mélodrame",dramatique
592,"Film dramatique, Film historique, Mélodrame",historique
593,"Film dramatique, Film historique, Mélodrame",mélodrame
594,http://fr.dbpedia.org/resource/Wu_Xia_Pian,wu xia pian
595,"Comédie dramatique, Film musical",comédie dramatique
596,"Comédie dramatique, Film musical",musical
597,Film à trucs,film à trucs
598,Péplum,péplum
599,http://fr.dbpedia.org/resource/Slapstick,slapstick
600,http://fr.dbpedia.org/resource/Documentaire_musical,documentaire
601,http://fr.dbpedia.org/resource/Documentaire_musical,musical
602,http://fr.dbpedia.org/resource/Fanfilm,fanfilm
603,http://fr.dbpedia.org/resource/Remake,remake
604,http://fr.dbpedia.org/resource/Space_opera,space opera
605,suspense,suspense
606,http://fr.dbpedia.org/resource/Film_sur_le_sport,sport
607,"espionnage, action",espionnage
608,"espionnage, action",action
609,http://fr.dbpedia.org/resource/Chronologie_du_cinéma_de_science-fiction,chronologie du cinéma de science-fiction
610,"http://fr.dbpedia.org/resource/Film_intimiste,_psychologique",intimiste
611,"http://fr.dbpedia.org/resource/Film_intimiste,_psychologique",psychologique
612,Court métrage expérimental,court métrage expérimental
613,comédie d'action,comédie d'action
614,Techno-thriller,techno-thriller
615,http://fr.dbpedia.org/resource/Musique_contemporaine,musique contemporaine
616,http://fr.dbpedia.org/resource/Musique_minimaliste,musique minimaliste
617,"science-fiction, thriller, aventure",science-fiction
618,"science-fiction, thriller, aventure",thriller
619,"science-fiction, thriller, aventure",aventure
620,Comédie romantique et fantastique,comédie romantique
621,Comédie romantique et fantastique,fantastique
622,http://fr.dbpedia.org/resource/Doublage,doublage
