,genre,simplified genre,simplified genre from URL
2230,http://fr.dbpedia.org/resource/Musique_rebelle_irlandaise,musique rebelle irlandaise,True
2231,http://fr.dbpedia.org/resource/Musique_bruitiste,musique bruitiste,True
2232,http://fr.dbpedia.org/resource/Free_Jazz,free jazz,True
2233,http://fr.dbpedia.org/resource/Rumba,rumba,True
2234,http://fr.dbpedia.org/resource/Opérette,operette,True
2235,http://fr.dbpedia.org/resource/Rockabilly,rockabilly,True
2236,http://fr.dbpedia.org/resource/Horror_punk,horror punk,True
2237,http://fr.dbpedia.org/resource/Turntablism,turntablism,True
2238,http://fr.dbpedia.org/resource/Rock_symphonique,rock symphonique,True
2239,dancehall,dancehall,False
2240,"Pop, opéra",pop,False
2241,"Pop, opéra",opera,False
2242,http://fr.dbpedia.org/resource/Uplifting_trance,uplifting trance,True
2243,http://fr.dbpedia.org/resource/Power_metal_symphonique,power metal symphonique,True
2244,http://fr.dbpedia.org/resource/Reggaeton,reggaeton,True
2245,http://fr.dbpedia.org/resource/Dance_Music,dance music,True
2246,Hip-hop,hip-hop,False
2247,Chanson Française / Rock,chanson française ,False
2248,Chanson Française / Rock,rock,False
2249,http://fr.dbpedia.org/resource/Jazz_rock,jazz rock,True
2250,http://fr.dbpedia.org/resource/Lo-fi,lo-fi,True
2251,http://fr.dbpedia.org/resource/Twee_pop,twee pop,True
2252,http://fr.dbpedia.org/resource/Swing,swing,True
2253,http://fr.dbpedia.org/resource/Électronique,electronique,True
2254,http://fr.dbpedia.org/resource/Latino,latino,True
2255,http://fr.dbpedia.org/resource/Lounge,lounge,True
2256,http://fr.dbpedia.org/resource/Bossa_nova,bossa nova,True
2257,"Electroswing, jazz manouche",electroswing,False
2258,"Electroswing, jazz manouche",jazz manouche,False
2259,http://fr.dbpedia.org/resource/Metal_neo-classique,metal neo-classique,True
2260,"Jazz et musique improvisée, musique classique",jazz,False
2261,"Jazz et musique improvisée, musique classique",musique improvisee,False
2262,"Jazz et musique improvisée, musique classique",musique classique,False
2263,http://fr.dbpedia.org/resource/Yéyé,yeye,True
2264,http://fr.dbpedia.org/resource/Alternative_country,alternative country,True
2265,http://fr.dbpedia.org/resource/Chanson_polyphonique,chanson polyphonique,True
2266,"chansons profanes et scripturales,",chansons profanes,False
2267,"chansons profanes et scripturales,",scripturales,False
2268,"chansons profanes et scripturales,",,False
2269,psaumes,psaumes,False
2270,http://fr.dbpedia.org/resource/Ghettotech,ghettotech,True
2271,http://fr.dbpedia.org/resource/Power_ballad,power ballad,True
2272,http://fr.dbpedia.org/resource/Musique_cadienne,musique cadienne,True
2273,http://fr.dbpedia.org/resource/Coupé-décalé,coupe-decale,True
